"id","aoguid","shortname","offname"
81,"10b43598-af90-4144-9353-593f708f53f7",ул,Урожайный
82,"10d01ccd-56db-419c-b421-5ed00b7bc74b",ул,"1-я Северная"
83,"10ea0be8-04ef-4812-aabd-bd1460f8e1ec",тракт,Салаирский 6 км
84,"112c85b7-a99e-4dde-bf56-a2751698e2c2",пер,Битюкова
85,"112d8ddc-f81d-4775-82d8-2e6940613325",ул,Краснодонская
86,"113ecc73-7f8b-4c6d-8f60-5317e879b353",ул,Провинциальная
87,"11480b41-069e-48cf-915c-2b7379a8757d",тракт,Велижанский 9 км
88,"11579186-ccb9-4e70-8107-9dce6786e28b",ул,Тополиная
89,"1173d796-8618-4c47-a297-cafb3c89473b",ул,Добрая
90,"1197421c-8d48-41ee-9b1c-63f97e65c921",ул,Журавлиная
91,"1240f1ed-b47a-4631-bc10-4db0a2be7b0c",тракт,Велижанский 13 км
92,"12aad673-9287-439e-8196-cf8eac92799e",ул,Уютная
93,"13253f6a-0100-4362-891d-4dc9842c37ee",ул,Тамерлана Ишмухамедова
94,"13608f95-8f53-445f-8a3a-c52ff3c561f0",ул,Димитрова
95,"138bcdeb-bfcc-43d6-ad31-fc43b9d8589b",ул,Прокопия Артамонова
96,"13951caa-336a-4427-be2d-0973a566c2a4",ул,Липецкая
97,"13ba8d12-6403-4c86-827e-5cae18f275a6",ул,Столичная
98,"13c66c4c-c0fb-46ce-bddf-6d2572c03c7b",ул,Салехардская
99,"14034775-9299-4b66-97e1-4b7579a76c23",ул,Волостная
100,"1433750d-f5f5-4059-9e2b-741c4b04c229",ул,Алебашевская
101,"148cd958-d2a5-4dc7-b054-9b37db67061a",ул,Юности
102,"149d9ad8-6e04-406a-8b6b-4c06abb39298",тракт,Старый Тобольский 7 км
103,"149eda64-b8fc-4cb6-96c2-353a49af6d1a",ул,Анатолия Малова
104,"14a1848c-84fc-4400-a5c6-a8b40ac65601",ул,Андрея Кореневского
105,"14a8c5ad-de9f-41c0-8703-84f83e2a0cc3",проезд,Летний
106,"15005899-e326-4e60-9872-564bc1325ec2",проезд,Ягодный
107,"15545997-d4c9-440e-bb3e-94c859d6a68b",ул,Дмитрия Менделеева
108,"15557c14-4ba5-42e9-92f5-ce03ed2cf476",ул,Тургенева
109,"15db7e25-7332-48eb-9212-524f34a4cd25",ул,Новаторов
110,"161ef2f4-8a08-4da1-bac7-a7665e2218c1",ул,Алексея Маресьева
111,"16b92adc-a934-4612-8ede-bfd00e0d3a24",ул,Российская
112,"16ddb115-e113-44d6-8e47-dd87a610234c",пер,Барнаульский
113,"1724ffdc-b404-4813-b64f-41090c1c5b61",ул,Никиты Карацупы
114,"173599d6-d3dd-4d1e-8642-fe99fa68e7ba",ул,Тальниковая
115,"176d9dd9-0643-41e0-b562-04562f721cbd",ул,Знаний
116,"177d7605-5583-4f81-8019-705874b72a02",ул,Грибная
117,"17c65262-7e58-4845-b2a7-e52d2c56c9ec",пер,Железнодорожный
118,"17cc81f2-d2e3-4365-a241-1f793151580e",ул,Варшавская
119,"17ce1e76-8964-4501-b978-96eb69cae1c6",ул,Вишневая
120,"17f362fc-81b1-4bbb-88f4-fa40e91ca273",проезд,Ольховый
121,"17f40638-9294-428e-aee0-55b93bb5de3e",ул,Монолитная
122,"1863d928-ef1b-43d6-b309-857917e6b445",ул,Маяковского
123,"1878b541-4c97-4a63-9b17-c06cd4caa931",проезд,Кофейный
124,"18975385-e815-45dd-a36e-b93858ac50da",ул,Пушкина
125,"1929d723-09f8-4053-a0ed-661f673cab52",пер,"2-й Мостовой"
126,"1947ec78-ed7a-4939-bce6-86dc3fbfe541",ул,Николая Чаплина
127,"19a4efff-4651-43fb-bc1f-073ea828f801",ул,Бирюзовая
128,"19d00d50-a970-4ca6-a198-75fa3352806e",ул,Азовская
129,"19dcbccd-0f27-487a-9ab8-da6614d595b6",пер,Покровский
130,"1a1a5d77-6d33-48a7-9474-b539a3d8267e",ул,Юлиуса Фучека
131,"1a4cd518-c310-4653-97a2-1a79d91fafdd",пер,"8-й Степной"
132,"1ac86e0a-66a8-47ab-9186-ab32ed5c8d81",пер,"2-й Гостевой"
133,"1ad18385-f442-4a71-84ef-d0e1e2b506d0",ул,Фестивальная
134,"1b0c5fbb-35bc-40c6-b1c7-c3f56223d04e",ул,Даргомыжского
135,"1b21991e-b44d-44dd-8ab2-f25730e89812",проезд,Воронинские горки
136,"1b639da9-1f40-4bd2-857c-ffc3a43f970b",ул,Родная
137,"1b968580-6638-4401-a4ca-9475b4b3ab01",ул,Невская
138,"1b995ad3-4c94-4370-9f9e-3e0ffbcc64f1",ул,Комарова
139,"1bc06053-f906-456e-8372-d9a1b364d8b8",проезд,"4-й Земской"
140,"1c39d4f9-6861-46ac-8cc6-636baa67ed2f",ул,Петровка
141,"1c3d1b77-92ee-4262-8afd-8f13b4f1a628",ул,Льва Каретина
142,"1c59320b-0f54-451b-951d-d4811e2e81ba",ул,Матмасовская
143,"1c61ec7d-d667-41ae-a061-57fc7fb62b3b",ул,Задорожная
144,"1c8648e6-672a-4755-8723-0cf628a67d47",проезд,Можайский
145,"1cad8d8d-d8f3-4a8b-be5a-58f73e2ec068",ул,Ореховая
146,"1cc424c8-66bb-4c29-89e5-3246e42d22cd",ул,Молодогвардейцев
147,"1cd9686a-a48b-4389-b9d9-4fd1cdca6744",ул,Максима Горького
148,"1ce63d52-53d3-45b5-b0c4-fc319dc4de13",ул,Новая
149,"1d23d63b-217d-4a4d-a5e2-77b613562356",ул,Госпаровская
150,"1d60e77e-5b8d-46ed-abe8-82860ea440b8",ул,Вересковая
151,"1d9fb46e-8b36-4d1f-8b54-7c74f08cc130",ул,Жемчужная
152,"1da96efb-58bf-46ec-bcce-1ee409c42e46",пер,Красовского
153,"1df5d5d2-9dea-4c41-a0e9-e8fc419e6597",ул,Юрия Семовских
154,"1e274f3b-9f80-4ce0-9465-1b59943897bf",проезд,Андрея Кижеватова
155,"1ed89b82-37c8-4520-b3ed-05e463a46dbe",ул,Набережная
156,"1efb1c96-2ec1-4994-a668-934ce8d3626e",пер,"4-й Северный"
157,"1f744f20-78e0-4b1a-af83-fcb011bcbb4c",проезд,Призывной
158,"1f853a96-61c5-4b80-a360-f384f799f75a",пер,Воровского
159,"1fc3c647-e6e7-496c-8e2a-66402f1b1a3f",тракт,Велижанский 5 км
160,"1fe7a0fc-c0fd-4772-8cfa-4c09b4e67716",пер,Чистый
161,"205619b2-0600-4d81-91e4-32a8513061db",ул,Метелёвская
162,"206b2bcd-fb77-4edf-bfdd-97a1eb701a64",ул,"4-я Западная"
163,"20f1156c-f964-4dab-a08a-0dcc55dacd75",ул,Магистральная
